[2026-07-26 19:10:03] [ERROR] 温湿度传感器离线/读取失败
[2026-07-26 19:10:04] [SENSOR] 开机未检测到温湿度传感器，延时播报
[2026-07-26 19:11:22] [INFO] 程序收到关闭信号，开始安全退出流程
[2026-07-26 19:11:22] [SENSOR] RS485采集线程已停止
[2026-07-26 19:11:22] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:22] [INFO] 摄像头采集线程正常退出
[2026-07-26 19:11:22] [INFO] 程序正常退出
[2026-07-26 19:11:23] [CAM] 摄像头设备断开...........................................
[2026-07-26 19:11:23] [INFO] 程序结束，退出码:0
[2026-07-26 19:11:44] [INFO] ========== 幼儿园AI安全卫士程序启动 ==========
[2026-07-26 19:11:44] [INFO] 主程序窗口初始化完成
[2026-07-26 19:11:44] [RECORD] 自动清理30天前视频，删除1个过期文件
[2026-07-26 19:11:44] [SENSOR] RS485传感器采集线程已启动，串口：/dev/ttyUSB0
[2026-07-26 19:11:44] [INFO] AI环境模拟线程启动
[2026-07-26 19:11:44] [INFO] 摄像头采集线程启动
[2026-07-26 19:11:44] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:44] [SENSOR] 开机未检测到温湿度传感器，延时播报
[2026-07-26 19:11:46] [NET] 网络已恢复连通
[2026-07-26 19:11:46] [MIC] 检测到USB麦克风设备
[2026-07-26 19:11:47] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:47] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:47] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:47] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:48] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:48] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:48] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:48] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:49] [INFO] 切换运行模式: 课堂模式 场景:中四班
[2026-07-26 19:11:49] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:49] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:49] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:49] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:50] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:50] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:50] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:50] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:51] [CAM] 摄像头捕获器已释放
[2026-07-26 19:11:51] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 19:11:51] [CAM] 摄像头捕获器已释放
