[2026-08-02 05:13:51] [ERROR] 摄像头读取帧失败，断开重连
[2026-08-02 05:13:51] [CAM] 摄像头设备断开...........................................
[2026-08-02 05:13:51] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:52] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:54] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:54] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:55] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:55] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:56] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:56] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:57] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:57] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:58] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:58] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:58] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:58] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:59] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:59] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:13:59] [CAM] 摄像头捕获器已释放
[2026-08-02 05:13:59] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:14:00] [CAM] 摄像头捕获器已释放
[2026-08-02 05:14:00] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:14:00] [CAM] 摄像头捕获器已释放
[2026-08-02 05:14:00] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:14:01] [CAM] 摄像头捕获器已释放
[2026-08-02 05:14:01] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 05:14:01] [CAM] 摄像头捕获器已释放
